istanza,agente_peggiore_greedy,costo_greedy,agente_peggiore_locale,costo_locale,stesso_agente,guadagno
MLE_1,6,9.75,6,9.75,True,0.0
MLE_2,9,9.83,9,9.83,True,0.0
MLE_3,1,9.1,1,9.1,True,0.0
MLE_4,7,9.1,7,9.1,True,0.0
MLE_5,11,7.73,11,7.73,True,0.0
MLE_6,6,10.37,6,10.37,True,0.0
MLE_7,6,11.6,6,11.6,True,0.0
MLE_8,11,10.6,11,10.6,True,0.0
MLE_9,11,10.1,11,10.1,True,0.0
MLE_10,8,10.93,8,10.93,True,0.0
MMLE_1,30,27.57,30,27.57,True,0.0
MMLE_2,49,25.62,49,25.62,True,0.0
MMLE_3,33,26.1,33,26.1,True,0.0
MMLE_4,46,26.83,46,26.83,True,0.0
MMLE_5,47,28.14,47,28.14,True,0.0
MMLE_6,27,30.5,27,30.5,True,0.0
MMLE_7,46,30.97,46,30.97,True,0.0
MMLE_8,48,29.8,48,29.8,True,0.0
MMLE_9,36,28.07,36,28.07,True,0.0
MMLE_10,39,25.0,39,25.0,True,0.0
